日文	推荐简中	类别	说明	来源	状态	风险
野良	路人局	玩家环境	未预先组队的随机匹配玩家或队伍	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
帯域	分段	匹配环境	相近实力、排名或分数形成的玩家区间	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	中
イカ速	鱿鱼冲刺速度	装备简称	装备能力“提升鱿鱼冲刺速度”的简称	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	低
スペ増	特殊武器增加量	装备简称	装备能力“提升特殊武器增加量”的简称	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	低
スペ性	特殊武器性能	装备简称	装备能力“提升特殊武器性能”的简称	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	低
インクロック	墨汁回复锁定	系统机制	使用武器后暂时不能开始回复墨汁的时间	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
スシ	小绿	武器简称	斯普拉射击枪的日文简称；正式名称为“斯普拉射击枪”	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
スクイク	鱿快洁	武器简称	鱿快洁系列的日文简称；具体型号需结合上下文	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
バケツ	飞溅泼桶	武器简称	通常指飞溅泼桶；泛指泼桶类时应按上下文译为“桶类”	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ホット	火热爆破枪	武器简称	火热爆破枪的日文简称；中文社区也常称“热泡”	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ロンブラ	远距爆破枪	武器简称	远距爆破枪的日文简称	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ラピエリ	快速爆破枪 精英	武器简称	快速爆破枪 精英的日文简称；具体型号需结合上下文	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
お風呂	泡澡桶	武器昵称	满溢泡澡泼桶的日文昵称；正式文本使用“满溢泡澡泼桶”，不要按字面译为浴缸	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
カニ	螃蟹坦克	特殊武器简称	螃蟹坦克的日文简称；普通动物语境仍译为螃蟹	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ジェッパ	喷射背包	特殊武器简称	喷射背包的日文简称	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
エリア	真格区域	模式简称	在对战模式语境中指真格区域；普通空间语境不套用	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ヤグラ	真格塔楼	模式简称	在对战模式语境中指真格塔楼；按战术语境可简称塔楼	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
ホコ	真格鱼虎对战	模式简称	在对战模式语境中指真格鱼虎对战；按战术语境可简称鱼虎	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
アサリ	真格蛤蜊	模式简称	在对战模式语境中指真格蛤蜊；普通贝类语境不套用	https://wikiwiki.jp/splatoon3mix/用語集/ゲーム内用語の略称一覧	seeded	中
納品	交蛋	鲑鱼跑操作	把金鲑鱼卵投入蛋篮；正式说明可译为提交金鲑鱼卵	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
寄せ	引怪	鲑鱼跑战术	把可移动的大型鲑鱼引到蛋篮附近再击倒；不要泛化为所有敌人	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	中
間引き	提前清怪	鲑鱼跑战术	在远处或威胁形成前清除部分敌人以控制场面压力	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	中
外回り	外圈	鲑鱼跑位置	远离蛋篮的岸边或地图外围区域；按句子可译为去外圈处理	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
湧き	刷怪	鲑鱼跑机制	敌人生成或出现；名词语境也可译为刷怪点或刷新情况	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
沸き	刷怪	鲑鱼跑机制	“湧き”的常见替代写法，指敌人生成或出现	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
オオモノ	大型鲑鱼	鲑鱼跑简称	“大型鲑鱼”的简称；不应泛译为普通的大型敌人	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
金イクラ	金鲑鱼卵	鲑鱼跑物品	完成打工交付目标所需的金色鲑鱼卵	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
ノルマ	目标数量	鲑鱼跑机制	当前波次必须交付的金鲑鱼卵数量；口语可译为指标	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
処理	处理	鲑鱼跑操作	击倒或控制指定敌人；应结合对象明确译为清掉、解决或处理	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
雑魚処理	清杂	鲑鱼跑战术	优先清理普通鲑鱼以维持移动空间和队伍安全	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
塗り返し	补涂	鲑鱼跑操作	重新涂好被敌方墨汁覆盖的地面或墙面	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
カゴ	蛋篮	鲑鱼跑简称	放入金鲑鱼卵的蛋篮；普通篮子语境不套用	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	低
海岸	岸边	鲑鱼跑位置	地图外侧靠海区域，通常距离蛋篮较远	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	中
遠征	出远门	鲑鱼跑战术	离开蛋篮附近前往远处处理高威胁目标；正式攻略可译为远征处理	https://wikiwiki.jp/splatoon3mix/用語集/スプラトゥーン世界の用語	seeded	中
どんぴこ	鲑鱼心脏斗技场	地图简称	鲑鱼跑地图“どんぴこ闘技場”的常见简称；正式文本使用全名	https://wikiwiki.jp/splatoon3mix/ステージ/どんぴこ闘技場	seeded	中
沼プレイ	下饭操作	玩家评价	形容离谱失误、低级操作或看起来不清醒的玩法；语气较重，按语境也可译为抽象操作或犯病操作	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	高
